Model,TBS2104
Firmware Version,v1.26.0

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.01,,,
Sample Interval,8e-06,,,
Filter Frequency,1e+08,,,
Record Length,20000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,20,20,10,100
Vertical Units,V,V,A,V
Vertical Offset,0,0,0,0
Vertical Scale,20,20,5,50
Label,,,,
TIME,CH1,CH2,CH3,CH4
-7.7672e-02,24.7812,-0.0625,-7.4541,89.2285
-7.7664e-02,24.4492,-0.0625,-7.46191,90.2734
-7.7656e-02,24.8398,-0.09375,-7.41016,90.1953
-7.7648e-02,24.5625,-0.0625,-7.4873,90.2344
-7.7640e-02,25.4102,0.015625,-7.39746,91.1523
-7.7632e-02,24.9375,-0.121094,-7.49609,90.1562
-7.7624e-02,25.3945,-0.078125,-7.38867,90.9473
-7.7616e-02,25.125,-0.0625,-7.39258,90.1172
-7.7608e-02,25.5352,0.03125,-7.27539,89.1895
-7.7600e-02,25.1562,-0.046875,-7.08594,90.3125
-7.7592e-02,25.1875,-0.121094,-7.23047,90.3809
-7.7584e-02,25.2578,-0.015625,-7.23047,91.1133
-7.7576e-02,25.3164,-0.121094,-7.20313,90.1562
-7.7568e-02,25.3711,-0.078125,-7.00684,90.2344
-7.7560e-02,25.7148,-0.015625,-7.18652,90.3223
-7.7552e-02,25.832,0.03125,-7.06543,90.1953
-7.7544e-02,25.4102,-0.078125,-7.05957,90.0781
-7.7536e-02,25.4805,-0.078125,-7.1543,89.1406
-7.7528e-02,26,0.328125,-7.13184,90.2734
-7.7520e-02,25.9531,-0.414062,-7.13477,89.8437
-7.7512e-02,26,-0.109375,-6.98438,90.0781
-7.7504e-02,26.125,-0.472656,-6.90527,90.0391
-7.7496e-02,26.1094,-0.03125,-6.95801,89.1992
-7.7488e-02,26.1797,-0.433594,-6.875,90.1562
-7.7480e-02,26.125,-0.03125,-6.9541,90.1562
-7.7472e-02,26.1758,-0.128906,-6.82227,90.3125
-7.7464e-02,26.5938,-0.0898438,-7.01855,90.3125
-7.7456e-02,26.6523,-0.09375,-6.95703,90.2344
-7.7448e-02,26.7227,-0.078125,-6.89453,90.3125
-7.7440e-02,26.707,-0.03125,-6.68164,89.2871
-7.7432e-02,26.4023,-0.015625,-6.78906,90.2734
-7.7424e-02,26.875,-0.109375,-6.73242,90.3027
-7.7416e-02,26.4648,-0.03125,-6.73438,90.2734
-7.7408e-02,26.8984,-0.121094,-6.61914,90.2734
-7.7400e-02,26.8711,-0.136719,-6.68945,90.3125
-7.7392e-02,26.8945,-0.429688,-6.60254,90.4004
-7.7384e-02,27.0469,-0.382812,-6.69336,90.2344
-7.7376e-02,27.1367,-0.015625,-6.50391,90.2344
-7.7368e-02,27.1211,-0.046875,-6.45801,91.2988
-7.7360e-02,27.6406,-0.0625,-6.62402,89.8828
-7.7352e-02,27.5508,-0.046875,-6.53027,89.082
-7.7344e-02,27.2461,0.015625,-6.63379,90.0391
-7.7336e-02,27.2344,0.015625,-6.39746,90.3125
-7.7328e-02,27.8008,0.046875,-6.50391,90.1172
-7.7320e-02,27.8164,0,-6.46191,90
-7.7312e-02,27.8359,-0.121094,-6.45898,90
-7.7304e-02,28.2148,-0.09375,-6.3584,90.9766
-7.7296e-02,27.9219,-0.109375,-6.46191,90.2734
-7.7288e-02,27.9219,-0.0625,-6.39941,90.2344
-7.7280e-02,27.9375,0.03125,-6.21094,91.1133
-7.7272e-02,28.1523,-0.40625,-6.39746,91.1914
-7.7264e-02,28.0859,-0.0625,-6.23828,91.1133
-7.7256e-02,28.1094,-0.03125,-6.26855,90.1953
-7.7248e-02,28.1602,0.339844,-6.25391,90.9863
-7.7240e-02,28.2539,0.078125,-6.23828,90.2734
-7.7232e-02,28.2812,-0.03125,-6.41211,90.3418
-7.7224e-02,28.3633,0,-6.2041,90.1953
-7.7216e-02,28.7812,-0.046875,-6.18359,90.2344
-7.7208e-02,28.8086,-0.0898438,-6.0918,90.2734
-7.7200e-02,28.8984,0,-6.26563,90.3418
-7.7192e-02,28.8945,0.015625,-6.13867,90.1562
-7.7184e-02,29.0312,0,-6.0459,89.3457
-7.7176e-02,29.1094,-0.046875,-6.05371,90.2344
-7.7168e-02,29.1094,-0.046875,-5.99609,89.2383
-7.7160e-02,29.1367,0,-6.08789,89.4824
-7.7152e-02,29.1641,0,-6.09473,90.2344
-7.7144e-02,29.1484,-0.109375,-5.96387,89.1504
-7.7136e-02,29.5742,0.078125,-5.9502,90.0781
-7.7128e-02,29.3867,0.347656,-5.93848,90.1172
-7.7120e-02,29.7617,0.03125,-5.9248,89.4043
-7.7112e-02,29.418,-0.015625,-5.71094,90.1172
-7.7104e-02,29.9258,-0.417969,-6.02637,90.2148
-7.7096e-02,29.9297,-0.0625,-5.76563,90.3613
-7.7088e-02,29.9219,-0.109375,-5.87402,90.1172
-7.7080e-02,29.9531,0.375,-5.71484,91.2207
-7.7072e-02,30.1094,0.0625,-5.76172,90.3809
-7.7064e-02,30.0469,-0.109375,-5.70508,90.2344
-7.7056e-02,30.4336,-0.417969,-5.68457,90.1953
-7.7048e-02,30.1953,-0.0625,-5.69531,90.1953
-7.7040e-02,30.6445,-0.078125,-5.48438,90.2734
-7.7032e-02,30.3984,-0.015625,-5.64453,90.4004
-7.7024e-02,30.7422,0.332031,-5.54395,90.1172
-7.7016e-02,30.7383,0,-5.55176,90.1562
-7.7008e-02,30.418,0.046875,-5.61035,90.1172
-7.7000e-02,30.8242,-0.015625,-5.50781,89.2285
-7.6992e-02,30.8711,-0.015625,-5.51465,90.1953
-7.6984e-02,31.3672,-0.121094,-5.58008,91.0547
-7.6976e-02,30.5977,-0.386719,-5.43945,89.1895
-7.6968e-02,31.0312,-0.046875,-5.36523,90.1172
-7.6960e-02,31.0664,0.015625,-5.36719,90.0781
-7.6952e-02,31.125,0.015625,-5.41895,91.0059
-7.6944e-02,31.5156,-0.402344,-5.49219,90.4004
-7.6936e-02,31.1797,-0.078125,-5.26855,90.1172
-7.6928e-02,31.6211,0.03125,-5.26953,90.3125
-7.6920e-02,31.2734,-0.046875,-5.23438,90.1562
-7.6912e-02,31.6133,-0.015625,-5.23145,90.1172
-7.6904e-02,31.3438,0.0625,-5.30859,90.2344
-7.6896e-02,31.3828,0.015625,-5.2041,90.3516
-7.6888e-02,31.4375,0.03125,-5.1582,90.3711
-7.6880e-02,31.8555,0.03125,-5.34766,90.3516
-7.6872e-02,31.8516,0.015625,-5.06738,90.2734
-7.6864e-02,31.9375,-0.015625,-5.04199,90.1172
-7.6856e-02,31.8789,-0.078125,-5.11426,90.1172
-7.6848e-02,31.9688,-0.0625,-5.08789,90.293
-7.6840e-02,32.3867,0.03125,-4.87402,90.3125
-7.6832e-02,32.1094,0.03125,-4.86426,90.1953
-7.6824e-02,32.0859,0.046875,-5.04297,90.2344
