Wavelength,AKL,QDL,,,OFFSET:,Wavelength,Mit QDL,D QDL,,PHI Ref,D REF,Referenz,,Korrekturfaktoren
426,0.302424,81.014381,,,,,,,,,,,,
427,0.305963,82.713196,,,,,,,,,,,,
428,0.307588,84.356201,,,,,,,,,,,,
429,0.311732,87.456215,,,,,,,,,,,,
430,0.314181,90.015007,,,,,,,,,,,,
431,0.316679,92.845894,,,,,,,,,,,,
432,0.320896,95.44532,,,,,,,,,,,,
433,0.323176,98.178009,,,,,,,,,,,,
434,0.328726,103.562889,,,,,,,,,,,,
435,0.331611,107.034409,,,,,,,,,,,,
436,0.335733,113.317413,,,,,,,,,,,,
437,0.341745,120.66713,,,,,,,,,,,,
438,0.345939,125.414375,,,,,,,,,,,,
439,0.351272,128.693802,,,,,,,,,,,,
440,0.358205,129.274399,,,,,,,,,,,,
441,0.367539,124.913788,,,,,,,,,,,,
442,0.377478,116.947144,,,,,,,,,,,,
443,0.389139,108.471336,,,,,,,,,,,,
444,0.397987,99.981071,,,,,,,,,,,,
445,0.41166,94.68589,,,,,,,,,,,,
446,0.419297,91.794983,,,,,,,,,,,,
447,0.429914,87.673187,,,,,,,,,,,,
448,0.443224,84.582855,,,,,,,,,,,,
449,0.460314,82.229553,,,,,,,,,,,,
450,0.476072,79.471344,,,,,,,,,,,,
451,0.492557,76.920471,,,,,,,,,,,,
452,0.501187,74.790771,,,,,,,,,,,,
453,0.508751,70.901649,,,,,,,,,,,,
454,0.517138,67.766525,,,,,,,,,,,,
455,0.519345,64.762253,,,,,,,,,,,,
456,0.526593,63.069561,,,,,,,,,,,,
457,0.532218,61.613163,,,,,,,,,,,,
458,0.536703,60.594982,,,,,,,,,,,,
459,0.54509,58.800465,,,,,,,,,,,,
460,0.546497,55.900433,,,,,,,,,,,,
461,0.549381,53.138641,,,,,,,,,,,,
462,0.554715,50.695587,,,,,,,,,,,,
463,0.559054,48.67683,,,,,,,,,,,,
464,0.564314,47.915619,,,,,,,,,,,,
465,0.573188,46.958618,,,,,,,,,,,,
466,0.581745,46.629555,,,,,,,,,,,,
467,0.595951,47.096806,,,,,,,,,,,,
468,0.612242,47.987133,,,,,,,,,,,,
469,0.625721,48.853165,,,,,,,,,,,,
470,0.640921,49.890739,,,,,,,,,,,,
471,0.661235,51.360466,,,,,,,,,,,,
472,0.685503,53.130737,,,,,,,,,,,,
